Компания,Номер положения оферты,№ пункта Таблицы с НПА,Статус соответствия,Комментарий
"""Котофей"" ИП Савёлов Андрей Александрович",1.1.,2,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",1.2.,43,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",1.3.,43,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",1.4.,19,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",1.5.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",1.5.,43,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",2.1.,26,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",2.1.,36,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",2.2.,30,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",2.3.,35,не соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",2.4.,49,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",2.5.,19,не соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.1.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.2.,32,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.3.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.4.,32,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.5.,32,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.6.,43,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.7.,3,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.8.,3,иное,
"""Котофей"" ИП Савёлов Андрей Александрович",3.9.,45,иное,
"""Котофей"" ИП Савёлов Андрей Александрович",3.10.,24,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.11.,6,не соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.12.,36,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.13.,20,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.14.,32,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.15.,45,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.16.,41,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.17.,30,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.18.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.19.,36,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.20.,36,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",3.21.,36,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.1.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.2.,32,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.3.,32,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.4.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.5.,32,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.6.,32,не соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.7.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.8.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.9.,41,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",4.10.,41,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.1.,12,не соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.2.,12,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.3.,12,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.4.,11,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.5.,18,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.6.,18,не соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.7.,15,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",5.8.,18,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",6.1.,38,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",6.2.,18,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",6.3.,45,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",7.1.,22,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",8.1.,,иное,
"""Котофей"" ИП Савёлов Андрей Александрович",8.2.,27,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",8.3.,21,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",8.4.,33,соответствует,
"""Котофей"" ИП Савёлов Андрей Александрович",8.5.,46,соответствует,
"ООО ""Франческа Донни""",1.1.,,,
"ООО ""Франческа Донни""",1.2.,43,соответствует,
"ООО ""Франческа Донни""",1.3.,49,соответствует,
"ООО ""Франческа Донни""",1.4.,30,соответствует,
"ООО ""Франческа Донни""",1.5.1.,43,соответствует,
"ООО ""Франческа Донни""",1.5.1.,38,соответствует,
"ООО ""Франческа Донни""",1.5.2.,43,соответствует,
"ООО ""Франческа Донни""",1.6.,20,соответствует,
"ООО ""Франческа Донни""",1.7.,32,соответствует,
